Grid_ID,Lat,Lon,Richness,Continent,TEMPR,PREC,TEMP,AREA,PERIMETER,Hw,TEMPLGM,PRECLGM,ALTR,ALTM,MDE,HII
306,-38.4840012,-57.5,202,South America,23.75638605,875.5314891,13.99512458,6.06E-05,0.15850001,0.000588717,-1.553279789,-148.5696528,119,43.20547945,88.69,28.5571934
321,-37.4840012,-73.5,75,South America,18.123162,1416.406043,11.28551812,0.004009231,2.029167167,0.022127571,-3.702190966,-133.9753472,1280,308.4746269,94.46,19.79542703
322,-37.4840012,-72.5,73,South America,22.22489586,1276.350625,12.41801563,0.00447399,1.950066342,-0.41123741,-3.572008098,-109.9886806,1121,238.1163194,100.64,21.24611111
323,-37.4840012,-71.5,107,South America,25.04160416,1437.511458,8.007908856,0.011847924,4.721444301,0.052552681,-3.407440106,-104.5879861,2291,1273.213542,105.81,12.86708333
324,-37.4840012,-70.5,57,South America,28.43120833,613.6998611,8.955310478,0.001097813,0.829500001,0.007480973,-3.285168972,-39.50743056,2573,1484.538194,108.6,7.256458333
326,-37.4840012,-68.5,120,South America,32.28254161,227.3345833,13.36148698,6.60E-05,0.110944271,0.000635604,-3.133434315,-22.10208333,1621,739.2534722,107.3,8.210486111
327,-37.4840012,-67.5,94,South America,33.61274295,301.0449306,14.98107146,0.031875207,9.38650001,0.109839628,-3.055524023,-17.773125,408,395.2517361,100.33,7.367638889
329,-37.4840012,-65.5,47,South America,32.88832599,439.4330556,15.36841347,0.012099138,7.211890034,0.053413108,-2.559170417,-26.66430556,170,279.7083333,109.41,6.596527778
330,-37.4840012,-64.5,46,South America,32.31048617,477.1352083,15.35126535,0.004418207,4.113444283,0.023955614,-2.16314176,-40.98423611,263,240.609375,117.82,7.513055556
331,-37.4840012,-63.5,203,South America,31.44886794,588.22125,15.10171557,0.044117895,24.82133285,0.137687087,-1.799375304,-61.58048611,135,158.5954861,117.1,12.07513889
332,-37.4840012,-62.5,201,South America,29.72245827,762.1838889,14.33958073,0.047500819,17.11288857,0.144735391,-1.640408561,-82.11604167,550,240.5798611,119.02,14.29590278
